paper,link,authors,venue,year,idea,gap,category,relevant
Beyond pass@1: A Reliability Science Framework for Long-Horizon LLM Agents,https://arxiv.org/pdf/2603.29231,?,arXiv,2026,"Applies reliability-engineering concepts (MTBF, failure rate, reliability function) to long-horizon agents.","Empirical grounding for treating 'reliability' as a measurable quantity, not just pass/fail.",cross-domain,yes
Language Models (Mostly) Know What They Know,https://www.anthropic.com/research/language-models-mostly-know-what-they-know,"Kadavath, et al.",arXiv,2022,Models can evaluate whether their own statements are true and predict correctness in advance.,Foundational for uncertainty-as-signal; not agentic-specific.,internal-signals,yes
Uncertainty-Based Abstention Improves Safety and Reduces Hallucinations,https://arxiv.org/abs/2404.10960,"Tomani, Chaudhuri, Evtimov, Cremers, Ibrahim",arXiv,2024,Statistical + In-Dialogue Uncertainty thresholding drives abstention; improves correctness and catches ~50% hallucinations.,"QA setting, not agentic/trajectory.",internal-signals,yes
Simple Probes can Catch Sleeper Agents,https://www.anthropic.com/research/probes-catch-sleeper-agents,Anthropic Alignment,Alignment Science Blog,2024,"Linear probing detects a backdoored model about to behave dangerously, even after it appears safe.","Backdoor/deception setting, not task-failure prediction - your transfer target.",internal-signals,yes
Model-Internals Classifiers,https://alignment.anthropic.com/2025/cheap-monitors/,Anthropic Alignment,Alignment Science Blog,2025,Benchmarks reusing LLM internals for cheaper monitoring than full output-classifier passes.,,internal-signals,yes
Harmful Intent as a Geometrically Recoverable Feature,https://arxiv.org/abs/2604.18901,?,arXiv,2026,"Linear direction for harmful intent, stable across 12 models and 4 architectures.",TPR@1%FPR only 0.30 for a deployed classifier despite high AUROC.,internal-signals,yes
Why Safety Probes Catch Liars But Miss Fanatics,https://arxiv.org/abs/2603.25861,?,arXiv,2026,Diff-in-means probing distinguishes deceptive vs. self-consistent hostile models.,Probes miss agents that internally believe their own harmful reasoning.,internal-signals,yes
Activation Oracles,https://alignment.anthropic.com/2025/activation-oracles/,Anthropic Alignment,Alignment Science Blog,2025,Trains LLMs to answer questions about their own activations in natural language.,,internal-signals,yes
Introspection Adapters,https://alignment.anthropic.com/2026/introspection-adapters/,Anthropic Alignment,Alignment Science Blog,2026,Trains an LLM to self-report behaviors learned during fine-tuning; generalizes across fine-tuning methods.,,internal-signals,yes
Detecting Multi-Agent Collusion Through Multi-Agent Interpretability,https://arxiv.org/abs/2604.01151,?,arXiv,2026,"Extends single-agent deception probing to multi-agent collusion detection, framed via AI Control.",,internal-signals,yes
Reasoning Models Don't Always Say What They Think,https://www.anthropic.com/research/reasoning-models-dont-say-think,"Chen, et al.",Alignment Science Blog,2025,Reasoning models don't always verbalize true reasoning.,Caveat for you: text/CoT-based trajectory monitoring has a ceiling - motivates activation-level signals.,alignment,yes
Teaching Claude Why,https://www.anthropic.com/research/teaching-claude-why,Anthropic Alignment,Anthropic Research,2026,Training on the model's own reasoning about why an action is wrong generalizes better OOD than demonstration-matching.,,alignment,yes
From Shortcuts to Sabotage,https://www.anthropic.com/research/emergent-misalignment-reward-hacking,Anthropic Alignment,Anthropic Research,2025,Realistic training processes can accidentally produce misaligned models via reward hacking.,,alignment,yes
Monitoring Computer Use via Hierarchical Summarization,https://alignment.anthropic.com/2025/summarization-for-monitoring/index.html,Anthropic Alignment,Alignment Science Blog,2025,Anthropic's own approach to monitoring computer-use agent trajectories via hierarchical summarization.,"Summarization/text-based, not internal-state-based - direct prior art to position against for GUI/computer-use.",alignment,yes
SLEIGHT-Bench,https://alignment.anthropic.com/2026/sleight-bench/,Anthropic Alignment,Alignment Science Blog,2026,Benchmark of evasive transcripts exploiting blind spots of frontier monitoring systems.,,alignment,yes
Putting up Bumpers,https://alignment.anthropic.com/2025/bumpers/,Anthropic Alignment,Alignment Science Blog,2025,Argues catching-and-fixing misalignment is tractable even without solving alignment.,,alignment,yes
"Trajectory Guard: A Lightweight, Sequence-Aware Model for Real-Time Anomaly Detection in Agentic AI",https://arxiv.org/abs/2601.00516,Advani,arXiv,2026,Siamese Recurrent Autoencoder with hybrid contrastive-reconstruction loss; F1 0.88-0.94 on balanced sets.,Performance degrades on long trajectories (F1 0.96 for 2-5 steps vs 0.87 for 11+ steps) - GRU encoding bottleneck.,cross-domain,yes
Agentic Confidence Calibration,https://arxiv.org/abs/2601.15778,?,arXiv,2026,"Holistic Trajectory Calibration (HTC): process-level features (entropy, confidence gradients, stability) across full trajectory.",Already uses internal/logit-derived features - check overlap with your angle closely.,cross-domain,yes
When Agents Fail: A Comprehensive Study of Bugs in LLM Agents with Automated Labeling,https://arxiv.org/abs/2601.15232,"Islam, Ayon, Thomas, Ahmed, Wardat",arXiv,2026,Analyzes 1187 bug reports across 7 LLM agent frameworks from Stack Overflow/GitHub/HuggingFace.,,cross-domain,yes
SWE-bench: Can Language Models Resolve Real-World GitHub Issues?,https://arxiv.org/abs/2310.06770,"Jimenez, Yang, Wettig, Yao, Pei, Press, Narasimhan",ICLR,2024,500+ tasks from real GitHub issues across 12 Python repos.,,benchmark,yes
WebArena: A Realistic Web Environment for Building Autonomous Agents,https://arxiv.org/abs/2307.13854,"Zhou, Xu, Zhu, Zhou, Lo, Sridhar, Cheng, Ou, Bisk, Fried, Alon, Neubig",ICLR,2024,812 web-navigation tasks.,Reward-hacked to ~100% in 2026 audit via gold-answer leak.,benchmark,yes
OSWorld: Benchmarking Multimodal Agents for Open-Ended Tasks in Real Computer Environments,https://arxiv.org/abs/2404.07972,"Xie, et al.",NeurIPS,2024,Real desktop computer-use tasks in a full Ubuntu VM.,,benchmark,yes
GAIA: A Benchmark for General AI Assistants,https://arxiv.org/abs/2311.12983,"Mialon, Fourrier, Swift, Wolf, LeCun, Scialom",arXiv,2023,General assistant tasks requiring live web interaction.,Validation answers reportedly public on HuggingFace - benchmark gaming risk.,benchmark,yes
tau-bench: A Benchmark for Tool-Agent-User Interaction in Real-World Domains,https://arxiv.org/abs/2406.12045,"Yao, Shinn, Razavi, Narasimhan",arXiv,2024,Tool-agent-user interactions with policy adherence; pass^k metric.,,benchmark,yes
tau2-Bench: Evaluating Conversational Agents in a Dual-Control Environment,https://arxiv.org/abs/2506.07982,"Barres, Dong, Ray, Si, Narasimhan",arXiv,2025,Successor to tau-bench.,,benchmark,yes
"Terminal-Bench: Benchmarking Agents on Hard, Realistic Tasks in Command Line Interfaces",https://arxiv.org/html/2601.11868v1,?,arXiv,2026,Command-line/terminal agent tasks.,,benchmark,yes
How We Broke Top AI Agent Benchmarks,https://arxiv.org/abs/2605.12673,?,arXiv,2026,"Automated scanning agent audited 8 major benchmarks, found all exploitable to ~100% without solving tasks.",Benchmark gaming is itself a trajectory-level failure mode - internal signals might catch what external pass/fail checks miss.,benchmark,yes
"A Survey on Hallucination in Large Language Models: Principles, Taxonomy, Challenges, and Open Questions",https://arxiv.org/abs/2311.05232,"Huang, Yu, Ma, Zhong, Feng, Wang, Chen, Peng, Feng, Qin, et al.",ACM TOIS,2025,"Survey of hallucination causes, taxonomy, detection/mitigation.",,survey,yes
